What does FBLA Stands for?,Future Business Leaders of America,F something,B something ,LA something,1
How many activities are there in the Progress section?,9,5,13,7,1
In which category can your chapter advisor designate an activity for BAA?,Service,Progress,Education,Leadership,1
Which site has FBLA partnered with for Education?,LinkedIn,Tallo,Amazon,Knowledge Matters,2
#FBLA,A World of Opportunity,Your Future is our Business,Be Apart of Something Bigger,Lead Together,1
How many activities should your chapter have every month in the Service section?,1,2,3,4,2
How many activities are there in the Service section?,10,12,9,7,1
What quiz do you complete can you complete in the Education part?,FBLA knowledge quiz,Internet Ethics and Safety Quiz,Etiquette Quiz,Business Quiz,2
How many activities must you complete in total?,12,13,14,15,3
How many items are you designing for MarketPlace?,3,4,5,6,1
How many hours of community service are you donating?,15,20,5,10,4
What is the only required activity in the Progress Section?,Getting New Members,Membership Madness,Recruitment Brochure,Membership Mania,2
How long is the job shadowing for the Education part?,Full working day,Half-day,2 hours,1 hour,2
In which category is one of the activities getting a certification?,Service,Education,Progress,Leadership,2
What activity must you have for middle schoolers in the service category?,Free enterprise Game,Community Service Project,Financial Literacy Seminar,Government Awareness Show,1
What project do you have to complete on Tallo for the education section?,E-Portfolio,Go Green/Green Initiative,Financial Literacy,Government Awareness,1
What is the name of the scholarship that you can apply for?,Distinguished Business Leader,FBLA Future Business Leader,FBLA Outstanding Business Leader,Distinguished Leader,1
How many Professional Division members must you recruit (at least)?,1,2,3,4,2
When is Adviser Appreciation Day? Choose the best answer.,In February,During FBLA-PBL week,February 4th,It varies every year,2
Fill in the blank. Post a _____ about how FBLA has helped you prepare for your future career.? ,Video,Pictorial,Presentation ,Flyer,1
You must complete a total of 15 activities to complete in the America category. How many activities of the 15 are already designated?,6,7,8,9,4
How many copies of the resume must be submitted for national competition?,3,1,4,6,4
Which one of the following competitive events has not been retired or modified?,Cyber Security,Internet Application Programming,Hospitality Management,Marketing,1
Which event requires a presentation before judges at a conference?,Digital Video Production,Local Chapter Annual Business Report,Desktop Publishing,Computer Problem Solving,1
"When did FBLA-PBL top 200,000 members for the first time?",1975,1987,2001,1990,2
Which one of the following requires a report or project submitted prior to the NLC?,Website Design,Global Business,Client Service,Personal Finance,1
Which membership award is not announced at the National Leadership Conference?,Largest Local Chapter Membership,Largest State Chapter Membership Professional Division,Largest Percent Increase in State Chapter Membership,Local Chapter Market Share Award,3
The most important resource of any organization is its:,membership,leadership,money for operations,program of work,1
The FBLA-PBL Code of Ethics consists of ____I will statements.,7,9,8,6,3
How many FBLA administrative regions are there in the United States?,3,4,6,5,4
The FBLA-PBL Alumni Division was established in:,1987,1969,1979,1981,3
Which of the following is a FBLA Social Networking guideline?,to be discrete,to use Facebook,to use Twitter,to be reasonable,1
One of the steps to recruit members a chapter should take would be to,orient current members.,schedule a recruitment party.,develop a recruitment plan.,plan a meeting.,3
